query_id,query,product_id,esci_label
352,.5 lead b ain,B00MIIFX8G,S
352,.5 lead b ain,B07X8Z2819,S
352,.5 lead b ain,B076J92WQG,S
352,.5 lead b ain,B01HODH9QI,E
352,.5 lead b ain,B017Q9VRIQ,E
352,.5 lead b ain,B00PQY8XRC,E
352,.5 lead b ain,B00NSNM9QE,S
352,.5 lead b ain,B00N99GWZ6,S
352,.5 lead b ain,B004NNKF0K,S
352,.5 lead b ain,B008JF3RLC,E
352,.5 lead b ain,B004NNPWL2,S
352,.5 lead b ain,B004EHYH2M,E
352,.5 lead b ain,B004EHYH18,S
352,.5 lead b ain,B004EHYH0Y,E
352,.5 lead b ain,B001TQDTOS,S
352,.5 lead b ain,B00006IEGK,S
354,.50 cc syringe without needle,B08M63N2FV,S
354,.50 cc syringe without needle,B07P25XH8Z,E
354,.50 cc syringe without needle,B08DWLNLXH,S
354,.50 cc syringe without needle,B089M8VJC6,S
354,.50 cc syringe without needle,B07SFK6Z5J,S
354,.50 cc syringe without needle,B07QJZMN51,S
354,.50 cc syringe without needle,B07PY77BHF,E
354,.50 cc syringe without needle,B07GX4RJF3,S
354,.50 cc syringe without needle,B00OAC21Y2,S
354,.50 cc syringe without needle,B07BQDRDC2,S
354,.50 cc syringe without needle,B01N7IJXO5,S
354,.50 cc syringe without needle,B01N01TO2O,E
354,.50 cc syringe without needle,B01JJYYWH4,S
354,.50 cc syringe without needle,B013WWFJX0,S
354,.50 cc syringe without needle,B00Z7MQBA4,I
354,.50 cc syringe without needle,B07GGQP7CQ,S
410,0-3 month swimsuit boy,B084RHK3MJ,I
410,0-3 month swimsuit boy,B084VQX59P,E
410,0-3 month swimsuit boy,B085B7CKBY,E
410,0-3 month swimsuit boy,B085XW3T4X,E
410,0-3 month swimsuit boy,B0881L23PH,I
410,0-3 month swimsuit boy,B089STT34R,E
410,0-3 month swimsuit boy,B08BBGZ3R1,E
410,0-3 month swimsuit boy,B08F31D14Z,E
410,0-3 month swimsuit boy,B08QW7KX8J,I
410,0-3 month swimsuit boy,B08QVGKXT6,E
410,0-3 month swimsuit boy,B08QW5MTZF,E
410,0-3 month swimsuit boy,B08TQ9VY85,E
410,0-3 month swimsuit boy,B08Y9F397W,E
410,0-3 month swimsuit boy,B08ZS9C4L3,E
410,0-3 month swimsuit boy,B091NTVR65,E
410,0-3 month swimsuit boy,B09286KJ2P,E
410,0-3 month swimsuit boy,B084L6Q5F2,E
410,0-3 month swimsuit boy,B08HVXWMYZ,E
410,0-3 month swimsuit boy,B083DGRRT8,E
410,0-3 month swimsuit boy,B092RDCYKG,E
410,0-3 month swimsuit boy,B07TY2H3YG,S
410,0-3 month swimsuit boy,B082V45PHM,E
410,0-3 month swimsuit boy,B018782L08,E
410,0-3 month swimsuit boy,B01JRE98RU,E
410,0-3 month swimsuit boy,B01MFENFJU,E
410,0-3 month swimsuit boy,B06Y6983YB,E
410,0-3 month swimsuit boy,B072JW2CHP,E
410,0-3 month swimsuit boy,B07DH5WH3Z,S
410,0-3 month swimsuit boy,B07GKML5FD,I
410,0-3 month swimsuit boy,B07GT576Q5,I
410,0-3 month swimsuit boy,B075B4MQFK,E
410,0-3 month swimsuit boy,B07MC9KS1M,E
410,0-3 month swimsuit boy,B07L9997GT,I
410,0-3 month swimsuit boy,B07T3C2SYM,E
410,0-3 month swimsuit boy,B07SK59BB4,E
410,0-3 month swimsuit boy,B07S91D13B,E
410,0-3 month swimsuit boy,B07T66YBNR,E
410,0-3 month swimsuit boy,B07R8G9B63,I
410,0-3 month swimsuit boy,B07MT8LZ9N,E
410,0-3 month swimsuit boy,B07S4DMJGZ,E
450,0.5cc syringe without needle,B08QFGYYPH,E
450,0.5cc syringe without needle,B08L1KD91R,E
450,0.5cc syringe without needle,B08FFR6L7K,S
450,0.5cc syringe without needle,B07SFK6Z5J,S
450,0.5cc syringe without needle,B07S8YF6KK,E
450,0.5cc syringe without needle,B07QM74NWG,S
